FADOB PHARMACY & STORES
Stock Status
From 1-1-2026 to 23-2-2026
All Items,All MC
Item Details,Parent Group,Unit,Op.Qty,Op.Amt.,Purc.,Amt.In,Qty In(Others),Amt.In(Others),Sale,Amt.Out,Qty.Out (Others),Amt.Out(Others),Cl. Qty,Cl. Amt.
"CUSSONS BABY WIPES",HOUSEHOLD ITEMS,Pcs.,-10,"-4,160.00",0,0.00,0,0.00,0,0.00,0,0.00,-10,"-4,160.00"
"CYCLOGEST PESSARY 400MG X 15 BLISTER",PHARMACY,Pcs.,5,"52,500.00",0,0.00,0,0.00,3,"42,600.00",0,0.00,2,"21,000.00"
"CYPLOX  500MG TAB PACK",PHARMACY,Pcs.,12,"9,476.85",0,0.00,0,0.00,0,0.00,0,0.00,12,"9,476.85"
"CYPRIGOLD CAPS BLISTER",PHARMACY,Pcs.,5,"2,334.72",15,"4,750.00",0,0.00,17,"8,800.00",0,0.00,3,"1,003.04"
"CYPRIGOLD SYR  100ML BOTTLE",PHARMACY,Pcs.,9,"5,311.10",10,"6,000.00",0,0.00,5,"4,500.00",0,0.00,14,"8,338.54"
"CYPRIGOLD SYR  200ML BOTTLE",PHARMACY,Pcs.,13,"12,927.52",0,0.00,0,0.00,3,"4,200.00",0,0.00,10,"9,944.25"
"CYPRIVIT SYR  100ml BOTTLE",PHARMACY,Pcs.,8,"4,411.24",10,"5,550.00",0,0.00,4,"3,600.00",0,0.00,14,"7,753.22"
"CYPRIVIT SYR  200ml BOTTLE",PHARMACY,Pcs.,16,"18,755.20",10,"11,000.00",0,0.00,22,"35,200.00",0,0.00,4,"4,482.50"
"CYPRODINE SYR  200ML BOTTLE",PHARMACY,Pcs.,-2,"-5,461.90",0,0.00,0,0.00,0,0.00,0,0.00,-2,"-5,461.90"
"CYPRON CAPS 4MG X 30 SACHET",PHARMACY,Pcs.,13,"8,294.84",15,"9,500.00",0,0.00,9,"8,100.00",0,0.00,19,"12,071.37"
"CYTOTEC TABS 200MG X PCS BLISTER",PHARMACY,Pcs.,118,"31,017.37",0,0.00,0,0.00,33,"13,200.00",0,0.00,85,"22,343.02"
"DABIC 15MG PACK",PHARMACY,Pcs.,-1,"-1,800.00",15,"18,500.00",0,0.00,4,"7,200.00",0,0.00,10,"12,000.00"
"DABIC 7.5MG PACK",PHARMACY,Pcs.,10,"10,816.27",15,"17,300.00",0,0.00,6,"10,200.00",0,0.00,19,"21,352.09"
"DABUR HERBAL PASTE 140G X 1 PACK",HOUSEHOLD ITEMS,Pcs.,2,"1,457.15",0,0.00,0,0.00,0,0.00,0,0.00,2,"1,457.15"
"DABUR MEDICATED TOOTHPASTE X 1 TUBE",HOUSEHOLD ITEMS,Pcs.,26,"9,620.00",0,0.00,0,0.00,0,0.00,0,0.00,26,"9,620.00"
"DAFLON 1000MG X30 BLISTER",PHARMACY,Pcs.,-1,"-5,800.00",0,0.00,0,0.00,0,0.00,0,0.00,-1,"-5,800.00"
"DAFLON 500MG X15 PACK",PHARMACY,Pcs.,1,"5,050.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"5,050.00"
"DAFLON TABS 500MG X30 BLISTER",PHARMACY,Pcs.,-3,"-25,800.00",2,"11,500.00",0,0.00,2,"13,800.00",0,0.00,-3,"-19,550.00"
"DAICITEM 80MG/480MG",PHARMACY,Pcs.,5,"3,000.00",0,0.00,0,0.00,0,0.00,0,0.00,5,"3,000.00"
"DAILY PROBIOTIC 500MG X60 CAPS N/F",PHARMACY,Pcs.,4,"60,685.33",0,0.00,0,0.00,2,"42,000.00",0,0.00,2,"30,342.67"
"DAKTACORT CREAM  15G TUBE",PHARMACY,Pcs.,-2,"-14,400.00",0,0.00,0,0.00,0,0.00,0,0.00,-2,"-14,400.00"
"DALACIN C 150MG X100 CAPS SACHET",PHARMACY,Pcs.,24,"63,184.34",0,0.00,0,0.00,0,0.00,0,0.00,24,"63,184.34"
"DALACIN C CAPS 300MG X 16 PACK",PHARMACY,Pcs.,40,"282,400.00",0,0.00,0,0.00,0,0.00,0,0.00,40,"282,400.00"
"DAMATOL DUSTING POWDER 125G X 1 BOTTLE",COSMETICS,Pcs.,19,"21,994.53",6,"9,000.00",0,0.00,10,"15,900.00",0,0.00,15,"19,076.04"
"DAMATOL DUSTING POWDER 200GM X CAN",COSMETICS,Pcs.,-3,"-9,000.00",6,"18,000.00",0,0.00,1,"3,600.00",0,0.00,2,"6,000.00"
"DAMATOL HAIR  CREAM 110G JAR",COSMETICS,Pcs.,13,"22,928.43",0,0.00,0,0.00,4,"8,800.00",0,0.00,9,"15,873.53"
"DAMATOL HAIR  CREAM 55G JAR",COSMETICS,Pcs.,6,"5,499.99",0,0.00,0,0.00,1,"1,100.00",0,0.00,5,"4,583.32"
"DANACID TABS  X 96 SACHET",PHARMACY,Pcs.,647,"104,204.53",192,"51,800.00",0,0.00,52,"20,400.00",0,0.00,787,"146,629.19"
"DANGOTE SUGAR 500G X 1 PACK",FOOD ITEMS,Pcs.,4,"1,900.00",0,0.00,0,0.00,0,0.00,0,0.00,4,"1,900.00"
"DANO 1.2.3 360G PACK",DRINKS AND BEVERAGES,Pcs.,-1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,0.00
"DANO COOL COW 150G",FOOD ITEMS,Pcs.,31,0.00,0,0.00,0,0.00,0,0.00,0,0.00,31,0.00
"DANO COOL COW 2KG PACK",DRINKS AND BEVERAGES,Pcs.,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00
"DANO COOL COW REFILL 320G",FOOD ITEMS,Pcs.,5,"14,583.32",0,0.00,0,0.00,0,0.00,0,0.00,5,"14,583.32"
"DANO COOL COW REFILL 800G PACK",FOOD ITEMS,Pcs.,3,"9,123.00",0,0.00,0,0.00,1,"8,300.00",0,0.00,2,"6,082.00"
"DANO FULL CREAM REFILL 350G",FOOD ITEMS,Pcs.,19,"78,261.90",0,0.00,0,0.00,0,0.00,0,0.00,19,"78,261.90"
"DANO FULL CREAM REFILL 800G",FOOD ITEMS,Pcs.,10,"93,333.33",0,0.00,0,0.00,0,0.00,0,0.00,10,"93,333.33"
"DANO GOLD REFILL 380G SACHET",FOOD ITEMS,Pcs.,11,"24,750.00",0,0.00,0,0.00,0,0.00,0,0.00,11,"24,750.00"
"DAONIL TABS 5MG X 100 SACHET",PHARMACY,Pcs.,11,"12,925.00",20,"23,600.00",0,0.00,20,"32,000.00",0,0.00,11,"12,975.00"
"DAPZIN 10MG BLISTER",PHARMACY,Pcs.,-6,"-34,200.00",12,"50,850.00",0,0.00,12,"68,400.00",0,0.00,-6,"-29,775.00"
"DAPZIN 5MG BLISTER",PHARMACY,Pcs.,12,"38,137.50",0,0.00,0,0.00,3,"13,200.00",0,0.00,9,"28,603.12"
"DARAVIT FORTE X 30 PACK JAR",PHARMACY,Pcs.,8,"35,772.09",8,"39,440.00",0,0.00,5,"33,200.00",0,0.00,11,"52,290.24"
"DARAVIT FORTE X30 SACHET BLISTER FROM X3",PHARMACY,Pcs.,5,0.00,0,0.00,0,0.00,0,0.00,0,0.00,5,0.00
"DARAVIT FORTE X60 CAPS PACK",PHARMACY,Pcs.,9,"58,995.00",0,0.00,0,0.00,1,"9,400.00",0,0.00,8,"52,440.00"
"DARAVIT FORTE XSACHET BLISTER",PHARMACY,Pcs.,-49,"-94,500.00",25,"35,325.00",0,0.00,15,"30,000.00",0,0.00,-39,"-58,042.00"
"DARAVIT MAN 70+ PACK",PHARMACY,Pcs.,10,"44,000.00",0,0.00,0,0.00,0,0.00,0,0.00,10,"44,000.00"
"DARAVIT PREGMOM PLUS X60 PACK",PHARMACY,Pcs.,6,"42,021.80",2,"13,998.00",0,0.00,2,"19,400.00",0,0.00,6,"42,013.86"
"DARAVIT PREGMOM X30 PACK",PHARMACY,Pcs.,5,"22,848.75",2,"11,000.00",0,0.00,1,"6,400.00",0,0.00,6,"29,279.00"
"DARAVIT REGULAR  X 30CAPS BLISTER",PHARMACY,Pcs.,-6,"-8,400.00",15,"16,000.00",0,0.00,11,"16,500.00",0,0.00,-2,"-3,000.00"
"DARAVIT WOMAN 50+ PACK",PHARMACY,Pcs.,8,"38,794.87",1,"5,500.00",0,0.00,0,0.00,0,0.00,9,"44,294.87"
"DARAVIT WOMAN 70+ PACK",PHARMACY,Pcs.,6,"26,142.86",0,0.00,0,0.00,0,0.00,0,0.00,6,"26,142.86"
"DARAVIT WOMAN X 30 PACK",PHARMACY,Pcs.,19,"111,099.18",24,"147,500.00",0,0.00,12,"108,200.00",0,0.00,31,"186,487.58"
"DAY & NIGHT NURSE CAPS X 24 PACK",System,Pcs.,1,"2,997.50",0,0.00,0,0.00,0,0.00,0,0.00,1,"2,997.50"
"DAY BY DAY VIT C +GLUCOSE PACK",PHARMACY,Pcs.,154,"64,830.32",80,"31,200.00",0,0.00,95,"66,500.00",0,0.00,139,"56,452.96"
"DAY BY DAY WELLNESS PACK",PHARMACY,Pcs.,-4,"-13,500.00",0,0.00,0,0.00,0,0.00,0,0.00,-4,"-13,500.00"
"DEAL SPRAY",PHARMACY,Pcs.,-1,"-3,500.00",0,0.00,0,0.00,0,0.00,0,0.00,-1,"-3,500.00"
"DE-DEON'S SYR  150ML BOTTLE",PHARMACY,Pcs.,32,"69,619.38",40,"86,900.00",0,0.00,31,"91,300.00",0,0.00,41,"89,216.30"
"DE-DEON'S SYR 280ML BOTTLE",PHARMACY,Pcs.,62,"217,942.71",60,"211,580.00",0,0.00,56,"276,200.00",0,0.00,66,"232,633.71"
"DEEP HEAT RUB 15G TUBE",PHARMACY,Pcs.,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,0.00
"DEEP HEAT RUB 35GM TUBE",PHARMACY,Pcs.,12,"32,712.64",0,0.00,0,0.00,1,"3,800.00",0,0.00,11,"29,986.59"
"DEEP HEAT SPRAY 150ML TIN",PHARMACY,Pcs.,3,"18,433.87",0,0.00,0,0.00,0,0.00,0,0.00,3,"18,433.87"
"DEEP RELIEF CREAM  30G PACK",PHARMACY,Pcs.,2,"1,064.00",0,0.00,0,0.00,3,"2,100.00",0,0.00,-1,-700.00
"DELE COTTON WOOL 100G PACK",PHARMACY,Pcs.,4,"3,633.90",0,0.00,0,0.00,0,0.00,0,0.00,4,"3,633.90"
"DELE COTTON WOOL 12.5G",PHARMACY,Pcs.,51,"6,295.85",0,0.00,0,0.00,34,"10,200.00",0,0.00,17,"2,098.56"
"DELE COTTON WOOL 250G PACK",PHARMACY,Pcs.,7,"14,463.78",15,"33,150.00",0,0.00,9,"27,800.00",0,0.00,13,"28,027.89"
"DELE COTTON WOOL 500G PACK",PHARMACY,Pcs.,7,"28,224.62",15,"60,450.00",0,0.00,9,"49,500.00",0,0.00,13,"52,550.14"
"DELE COTTON WOOL 50G",PHARMACY,Pcs.,16,"7,277.95",30,"13,350.00",0,0.00,29,"20,300.00",0,0.00,17,"7,603.70"
"DELISSO WAFFERS CHOCOLATE",CHOCOLATES,Pcs.,101,"41,983.62",0,0.00,0,0.00,36,"25,200.00",0,0.00,65,"27,019.14"
"DENTA PLUS 2 IN 1 TOOTHBRUSH",HOUSEHOLD ITEMS,Pcs.,1,562.98,0,0.00,0,0.00,2,"1,400.00",0,0.00,-1,-562.98
"DENTA PLUS SINGLE TOOTHBRUSH SINGLEPAC",HOUSEHOLD ITEMS,Pcs.,15,"7,480.77",0,0.00,0,0.00,6,"4,200.00",0,0.00,9,"4,488.46"
"DENTAL FLOSS *30/*40 PCS FLAT&CUP PACK",HOUSEHOLD ITEMS,Pcs.,15,"4,700.02",0,0.00,0,0.00,12,"6,000.00",0,0.00,3,940.00
"DENTAL FLOSS COLDENT 100PCS PACK",HOUSEHOLD ITEMS,Pcs.,-4,"-6,800.00",0,0.00,0,0.00,1,"1,800.00",0,0.00,-5,"-8,600.00"
"DENTAL FLOSS COLDENT X50PCS PACK",HOUSEHOLD ITEMS,Pcs.,7,"5,541.66",0,0.00,0,0.00,2,"2,200.00",0,0.00,5,"3,958.32"
"DENTAL FLOSS X100 PCS FLAT PACK",HOUSEHOLD ITEMS,Pcs.,16,"16,000.00",0,0.00,0,0.00,5,"7,000.00",0,0.00,11,"11,000.00"
"DEQUADIN LOZENGES",PHARMACY,Pcs.,20,"3,950.36",50,"10,000.00",0,0.00,25,"10,000.00",0,0.00,45,"8,968.11"
"DERMACOL CREAM",PHARMACY,Pcs.,14,"8,166.68",0,0.00,0,0.00,4,"4,000.00",0,0.00,10,"5,833.35"
"DERMALIS CLEANSER BOTTLE",PHARMACY,Pcs.,6,"5,500.00",0,0.00,0,0.00,0,0.00,0,0.00,6,"5,500.00"
"DERMAZIN CREAM  50G TUBE",PHARMACY,Pcs.,2,"9,038.89",0,0.00,0,0.00,0,0.00,0,0.00,2,"9,038.89"
"DERMAZIN CREAM 25G TUBE",PHARMACY,Pcs.,1,"2,771.42",0,0.00,0,0.00,0,0.00,0,0.00,1,"2,771.42"
"DERMOVATE CREAM  30G TUBE",System,Pcs.,1,"3,100.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"3,100.00"
"DERMOVTE CREAM 25G",PHARMACY,Pcs.,1,970.00,0,0.00,0,0.00,0,0.00,0,0.00,1,970.00
"DETTOL COOL SOAP 110G",COSMETICS,Pcs.,-51,"-26,200.00",0,0.00,0,0.00,2,"1,200.00",0,0.00,-53,"-27,400.00"
"DETTOL COOL SOAP 70G",HOUSEHOLD ITEMS,Pcs.,-149,"-39,425.00",0,0.00,0,0.00,16,"4,800.00",0,0.00,-165,"-44,225.00"
"DETTOL JELLY  80G JAR",HOUSEHOLD ITEMS,Pcs.,-2,-700.00,0,0.00,0,0.00,0,0.00,0,0.00,-2,-700.00
"DETTOL LIQUID 165ML JAR",HOUSEHOLD ITEMS,Pcs.,-2,"-5,800.00",12,"34,000.00",0,0.00,1,"3,400.00",0,0.00,9,"25,500.00"
"DETTOL LIQUID 1LT JAR",HOUSEHOLD ITEMS,Pcs.,-1,"-12,000.00",0,0.00,0,0.00,0,0.00,0,0.00,-1,"-12,000.00"
"DETTOL LIQUID 250ML PCS",HOUSEHOLD ITEMS,Pcs.,4,"17,222.22",12,"52,000.00",0,0.00,0,0.00,0,0.00,16,"69,222.22"
"DETTOL LIQUID 500ML JAR",HOUSEHOLD ITEMS,Pcs.,20,"150,833.32",0,0.00,0,0.00,1,"9,000.00",0,0.00,19,"143,291.65"
"DETTOL LIQUID 750ML JAR",HOUSEHOLD ITEMS,Pcs.,10,"103,333.34",0,0.00,0,0.00,0,0.00,0,0.00,10,"103,333.34"
"DETTOL LIQUID 75ML JAR",HOUSEHOLD ITEMS,Pcs.,58,"76,307.99",0,0.00,0,0.00,15,"24,000.00",0,0.00,43,"56,573.16"
"DETTOL SOAP ORIGINAL 110G GREEN",HOUSEHOLD ITEMS,Pcs.,-4,"-5,200.00",24,"24,500.00",0,0.00,1,"1,300.00",0,0.00,19,"19,395.83"
"DETTOL SOAP ORIGINAL 75G",COSMETICS,Pcs.,-18,"-10,733.33",24,"12,600.00",0,0.00,6,"3,700.00",0,0.00,0,0.00
"DEXACURE 1MG DEXAMETHASONE BLISTER",PHARMACY,Pcs.,45,"2,475.00",0,0.00,0,0.00,3,300.00,0,0.00,42,"2,310.00"
"DEXAMETHASONE(MULTICOY) 1ML INJ AMPOULES",PHARMACY,Pcs.,84,"4,205.06",0,0.00,0,0.00,31,"2,480.00",0,0.00,53,"2,653.20"
"DEXAMETHASONE/NEOMYCIN EYEDROP FIDSON",PHARMACY,Pcs.,0,0.00,10,"6,700.00",0,0.00,1,900.00,0,0.00,9,"6,030.00"
"DEXILANT 2MG BLISTER TIZANIDINE",PHARMACY,Pcs.,3,"4,413.58",15,"22,000.00",0,0.00,11,"23,100.00",0,0.00,7,"10,266.65"
"DEXORANGE SYR  200ML BOTTLE",PHARMACY,Pcs.,12,"34,514.73",3,"8,850.00",0,0.00,5,"20,000.00",0,0.00,10,"28,963.47"
"DEXTROSE SALINE FIDSON BOTTLE",PHARMACY,Pcs.,-119,"-77,080.00",28,"15,020.00",0,0.00,29,"22,150.00",0,0.00,-120,"-67,950.00"
"DEXTROSE WATER 5% FIDSON BOTTLE",System,Pcs.,-54,"-33,850.00",20,"11,300.00",0,0.00,16,"12,800.00",0,0.00,-50,"-31,070.00"
"DEX-UP 0.5MG TAB BLISTER DEXAMETHASONE",PHARMACY,Pcs.,46,"1,610.00",0,0.00,0,0.00,0,0.00,0,0.00,46,"1,610.00"
"DHA EMULSION SYR 100ML HOVID BOTTLE",PHARMACY,Pcs.,2,"10,630.00",0,0.00,0,0.00,1,"7,200.00",0,0.00,1,"5,315.00"
"DHA PLUS EMULSION(KRISPINE) BOTTLE",PHARMACY,Pcs.,3,"16,461.22",0,0.00,0,0.00,0,0.00,0,0.00,3,"16,461.22"
"DHA SYR JEHYSON",PHARMACY,Pcs.,1,"4,300.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"4,300.00"
"DIABETMIN TABS 500MG X 100 SACHET",PHARMACY,Pcs.,157,"69,900.55",0,0.00,0,0.00,54,"37,800.00",0,0.00,103,"45,858.29"
"DIABETONE CAPS  X 30 BLISTER",PHARMACY,Pcs.,-2,"-4,636.68",0,0.00,0,0.00,1,"3,800.00",0,0.00,-3,"-8,436.68"
"DIABOND BLISTER METFORMIN",PHARMACY,Pcs.,18,"4,349.97",30,"7,250.00",0,0.00,20,"8,000.00",0,0.00,28,"6,766.64"
"DIAMET 500MG TAB",PHARMACY,Pcs.,-5,"-1,125.00",66,"15,708.35",0,0.00,22,"8,800.00",0,0.00,39,"9,394.49"
"DIAMICRON TABS 30MG X 30 BLISTER",PHARMACY,Pcs.,25,"39,811.22",0,0.00,0,0.00,0,0.00,0,0.00,25,"39,811.22"
"DIAMICRON TABS 60MG X 30 SACHET",PHARMACY,Pcs.,8,"43,661.30",0,0.00,0,0.00,0,0.00,0,0.00,8,"43,661.30"
"DIAPRIDE 4MG BLISTER",PHARMACY,Pcs.,10,"13,566.66",0,0.00,0,0.00,8,"15,200.00",0,0.00,2,"2,713.33"
"DIASTOP SUSP 100ML BOTTLE",PHARMACY,Pcs.,6,"3,878.40",5,"3,225.00",0,0.00,6,"5,400.00",0,0.00,5,"3,227.00"
"DIATAB  5MG X 100 SACHET",PHARMACY,Pcs.,149,"15,157.80",0,0.00,0,0.00,31,"6,200.00",0,0.00,118,"12,004.17"
"DIAZEPAM INJ",PHARMACY,Pcs.,-4,"-1,200.00",0,0.00,0,0.00,0,0.00,0,0.00,-4,"-1,200.00"
"DIAZEPAM TAB COUNTING PER TABLET",PHARMACY,Pcs.,740,"4,810.00",0,0.00,0,0.00,0,0.00,0,0.00,740,"4,810.00"
"DICLOFENAC 50MG CAP DGF",PHARMACY,Pcs.,3,885.00,0,0.00,0,0.00,4,"2,000.00",0,0.00,-1,-295.00
"DICLOFENAC GEL DGF 30G TUBE",PHARMACY,Pcs.,-7,"-6,700.00",10,"7,100.00",0,0.00,12,"12,000.00",0,0.00,-9,"-6,390.00"
"DICLOFENAC INJ AMPOULES",PHARMACY,Pcs.,-13,"-1,424.00",100,"5,000.00",0,0.00,54,"6,060.00",0,0.00,33,"1,650.00"
"DICLOFENAC(DGF) EYE DROPS 5ML PACK",PHARMACY,Pcs.,22,"24,911.76",12,"15,600.00",0,0.00,5,"9,000.00",0,0.00,29,"34,554.16"
"DICLOGENTA EYE DROPS 5ML BOTTLE",PHARMACY,Pcs.,-4,-800.00,0,0.00,0,0.00,0,0.00,0,0.00,-4,-800.00
"DICLOMOL GEL PACK",PHARMACY,Pcs.,68,"48,531.46",40,"28,400.00",0,0.00,22,"22,000.00",0,0.00,86,"61,248.57"
"DICLOMOL TAB X20 BLISTER",PHARMACY,Pcs.,61,"20,519.06",40,"13,900.00",0,0.00,39,"19,500.00",0,0.00,62,"21,183.80"
"DICLOVISION EYEDROP",PHARMACY,Pcs.,4,"4,500.00",0,0.00,0,0.00,4,"6,400.00",0,0.00,0,0.00
"DIFLUCAN  50MG CAP X 3 PACK",PHARMACY,Pcs.,6,"26,740.95",8,"35,775.00",0,0.00,6,"37,200.00",0,0.00,8,"35,772.74"
"DIGICEF SUSP 100ML",PHARMACY,Pcs.,5,"13,500.00",0,0.00,0,0.00,0,0.00,0,0.00,5,"13,500.00"
"DIGICLAV 228MG 70ML",PHARMACY,Pcs.,1,"2,150.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"2,150.00"
"DIGICLAV 457MG SUSP",PHARMACY,Pcs.,7,"18,900.00",16,"43,200.00",0,0.00,13,"52,000.00",0,0.00,10,"27,000.00"
"DIGITAL THERMOMETER HEALTHCHECK PACK",PHARMACY,Pcs.,6,"18,792.97",5,"15,750.00",0,0.00,8,"34,400.00",0,0.00,3,"9,429.94"
"DIGITAL THERMOMETER INFRARED",PHARMACY,Pcs.,6,0.00,0,0.00,0,0.00,1,"10,000.00",0,0.00,5,0.00
"DIGITAL THERMOMETER WITH BEEPER PCS",PHARMACY,Pcs.,2,"2,505.55",5,"6,250.00",0,0.00,1,"1,800.00",0,0.00,6,"7,504.76"
"DIGOXIN 0.25MG TAB X 50 BLISTER",System,Pcs.,29,"7,473.27",0,0.00,0,0.00,0,0.00,0,0.00,29,"7,473.27"
"DIORA PETROLEUM JELLY 100G S/S",COSMETICS,Pcs.,4,"1,500.00",0,0.00,0,0.00,0,0.00,0,0.00,4,"1,500.00"
"DIORA PETROLEUM JELLY 350G B/S",COSMETICS,Pcs.,4,"3,666.66",0,0.00,0,0.00,1,"1,200.00",0,0.00,3,"2,750.00"
"DIORA SHEA BUTTER 227G",COSMETICS,Pcs.,12,"12,923.08",0,0.00,0,0.00,3,"4,500.00",0,0.00,9,"9,692.32"
"DIOSARTAN 80MG VALSARTAN BLISTER",PHARMACY,Pcs.,14,"20,222.23",0,0.00,0,0.00,0,0.00,0,0.00,14,"20,222.23"
"DIOVAN TABS 160MG X 28 BLISTER",PHARMACY,Pcs.,4,"52,836.00",0,0.00,0,0.00,0,0.00,0,0.00,4,"52,836.00"
"DIOVAN TABS 80MG X 28 BLISTER",PHARMACY,Pcs.,1,"8,507.20",0,0.00,0,0.00,0,0.00,0,0.00,1,"8,507.20"
"DIP SEAS COD LIVER OIL 1000MG C BLISTER",PHARMACY,Pcs.,2,514.62,0,0.00,0,0.00,0,0.00,0,0.00,2,514.62
"DIPLOMAT HARD SMOKERS BRUSH",PHARMACY,Pcs.,8,"4,666.68",0,0.00,0,0.00,6,"4,200.00",0,0.00,2,"1,166.67"
"DIPLOMAT TOOTHBRUSH X 12 PCS",HOUSEHOLD ITEMS,Pcs.,12,"4,999.99",0,0.00,0,0.00,0,0.00,0,0.00,12,"4,999.99"
"D-KOFF  SYR 100ML BOTTLE",PHARMACY,Pcs.,36,"25,649.82",36,"25,200.00",0,0.00,31,"37,200.00",0,0.00,41,"28,898.89"
"DMAL INJ ARTEMETHER PACK",PHARMACY,Pcs.,-2,"-3,000.00",0,0.00,0,0.00,0,0.00,0,0.00,-2,"-3,000.00"
"DOFEC GEL",PHARMACY,Pcs.,48,"13,440.00",0,0.00,0,0.00,0,0.00,0,0.00,48,"13,440.00"
"DOGAN CUBE SUGAR",HOUSEHOLD ITEMS,Pack.,5,"6,000.00",0,0.00,0,0.00,0,0.00,0,0.00,5,"6,000.00"
"DOLO META-B FORT TABS SACHET",PHARMACY,Pcs.,25,"17,387.50",0,0.00,0,0.00,1,"1,000.00",0,0.00,24,"16,692.00"
"DOLO-META B TABS  X 100 BLISTER",PHARMACY,Pcs.,71,"28,802.81",0,0.00,0,0.00,23,"13,800.00",0,0.00,48,"19,472.38"
"DOLO-NEUROTAB TABS  X 100 BLISTER",PHARMACY,Pcs.,-1,-100.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,-100.00
"DONEPEZIL HYDROCHLORIDE  10MG X PACK",PHARMACY,Pcs.,-2,"-4,000.00",0,0.00,0,0.00,0,0.00,0,0.00,-2,"-4,000.00"
"DONEPEZIL HYDROCHLORIDE 5MG BLISTER",PHARMACY,Pcs.,8,"9,800.00",0,0.00,0,0.00,0,0.00,0,0.00,8,"9,800.00"
"DOOBAI SPRAY",HOUSEHOLD ITEMS,Pack.,5,"15,000.00",0,0.00,0,0.00,3,"12,000.00",0,0.00,2,"6,000.00"
"DOPATAB TABS 250MG X 100 SACHET",PHARMACY,Pcs.,-150,"-118,800.00",100,"89,600.00",0,0.00,77,"85,200.00",0,0.00,-127,"-113,792.00"
"DORBAXIN 500MG X10 PACK",PHARMACY,Pcs.,7,"5,530.00",0,0.00,0,0.00,2,"2,200.00",0,0.00,5,"3,950.00"
"DORLPEN TAB PACK",PHARMACY,Pcs.,0,0.00,30,"26,750.00",0,0.00,35,"46,500.00",0,0.00,-5,"-7,500.00"
"DORZOLAMIDE (DOROTREX) EYE DROP BOTTLE",PHARMACY,Pcs.,4,"12,800.00",0,0.00,0,0.00,0,0.00,0,0.00,4,"12,800.00"
"DOVASAT-H BLISTER",PHARMACY,Pcs.,6,"5,300.00",0,0.00,0,0.00,0,0.00,0,0.00,6,"5,300.00"
"DOVE  PINK SOAP 100G SOAP TABLET",COSMETICS,Pcs.,19,"20,441.94",0,0.00,0,0.00,11,"15,400.00",0,0.00,8,"8,607.14"
"DOVE BEAUTY SOAP 100G PACK",COSMETICS,Pcs.,20,"23,264.50",0,0.00,0,0.00,5,"7,000.00",0,0.00,15,"17,448.38"
"DOVE ROLL ON",PHARMACY,Pcs.,9,"18,000.00",0,0.00,0,0.00,1,"2,500.00",0,0.00,8,"16,000.00"
"DOXAZOSIN 2MG TEVA",PHARMACY,Pcs.,-8,"-10,800.00",10,"11,000.00",0,0.00,11,"18,500.00",0,0.00,-9,"-9,900.00"
"DOXAZOSIN 4mg (MILPHARM)",PHARMACY,Pcs.,10,"4,950.00",0,0.00,0,0.00,0,0.00,0,0.00,10,"4,950.00"
"DOXAZOSIN 4MG TEVA BLISTER",PHARMACY,Pcs.,-5,"-8,500.00",6,"8,400.00",0,0.00,4,"8,400.00",0,0.00,-3,"-6,300.00"
"DOXYCAP CAPS 100MG X 100 SACHET",PHARMACY,Pcs.,16,"11,796.08",50,"36,825.00",0,0.00,36,"36,000.00",0,0.00,30,"22,098.45"
"DOXYCYCLINE 100MG CAP BLISTER",PHARMACY,Pcs.,87,"15,533.02",50,"9,675.00",0,0.00,16,"6,400.00",0,0.00,121,"22,304.98"
"DOXYCYCLINE 100MG FIDSON BLISTER",PHARMACY,Pcs.,55,"15,922.50",0,0.00,0,0.00,26,"10,400.00",0,0.00,29,"8,395.50"
"DR BROWN ADULT DIAPER",HOUSEHOLD ITEMS,Pcs.,12,"93,426.91",0,0.00,0,0.00,4,"40,000.00",0,0.00,8,"62,284.60"
"DR BROWN WIPES X 1 PACK",HOUSEHOLD ITEMS,Pcs.,24,"27,128.22",6,"5,500.00",0,0.00,4,"5,600.00",0,0.00,26,"28,198.43"
"DR DERBY TONGUE CLEANER",HOUSEHOLD ITEMS,Pcs.,4,"2,333.34",0,0.00,0,0.00,0,0.00,0,0.00,4,"2,333.34"
"DR FIZZO LIVER SALT SACHET",PHARMACY,Pcs.,41,"8,215.24",50,"11,000.00",0,0.00,0,0.00,0,0.00,91,"19,215.24"
"DR GREG OVULATION TEST KIT PCS",PHARMACY,Pcs.,1,"1,620.00",0,0.00,0,0.00,1,"2,200.00",0,0.00,0,0.00
"DR HOMMELS ADVANCED LIQUID FORM ADVANCED",PHARMACY,Pcs.,4,"15,578.40",3,"11,925.00",0,0.00,2,"10,800.00",0,0.00,5,"19,714.20"
"DR HOMMELS CAPLETS CAPLET  X 3 PACK",PHARMACY,Pcs.,1,"1,800.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"1,800.00"
